,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PASTA,,,,,,,,Burger with Fries,,,,,,,Pica Pica,,,,,,,Pizza,,,,Wings with Fries,,,,,,,Rice Meals,,,,,,,,,,,Party Trays Small,,,,,,,,,,,,,Party Trays Large,,,,,,,,,,,,
Items,Grams / Pc,Carbonara,Classic Pesto,Cream Black Truffle,Aglio e Olio,Spaghetti with meatballs,Wild Spaghetti,Baked Mac,Lasagna,Fries Solo,Fries Large,Beef Burger Solo,Burger With Fries,Crispy Chicken Burger,Crispy Chicken Burger w/ Fries,Fries W/ Cheesy Beef,Cheese Sticks,Nachos Cheese,Nachos Overload,Nachos in White Sauce,Quesadilla Beef,Quesadilla Mixed Cheese,Quesadilla Salpicao,Classic Meat Pizza,Creamy Spinach Pizza,Truffle Pizza,Triple Cheese Pizza,Buffalo Wings,Soy Garlic Wings,Honey Sriracha Wings,BBQ Wings,Garlic Pamesan Wings,Wings Solo,Chicken Poppers,Buffalo Wings,Soy Garlic Wings,Honey Sriracha Wings,BBQ Wings,Garlic Pamesan Wings,Creamy Beef with Mushroom,Beef Tapa,Chicken Ala King,Steak Burger Au Jus,Swedish Meatballs,Beef Salpicao,Carbonara,Classic Pesto,Cream Black Truffle,Aglio e Olio,Spaghetti with meatballs,Wild Spaghetti,Baked Mac,Lasagna,Buffalo Wings,Soy Garlic Wings,Honey Sriracha Wings,BBQ Wings,Garlic Pamesan Wings,Carbonara,Classic Pesto,Cream Black Truffle,Aglio e Olio,Spaghetti with meatballs,Wild Spaghetti,Baked Mac,Lasagna,Buffalo Wings,Soy Garlic Wings,Honey Sriracha Wings,BBQ Wings,Garlic Pamesan Wings
Salpicao Beef Portion,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Wings Portion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,3,3,3,3,3,,,,,,,,,5,5,5,5,5
Buffalo Sauce,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,60,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,300,,,,
Soy Garlic Sauce,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,62,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,310,,,
Honey Sriracha Sauce,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,66,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,330,,
BBQ Sauce,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,72,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,360,
Chicken Poppers Portion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loaf Bread in piece,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
Corn in Can,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,22,22,22,22,22,22,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrots,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,19,19,19,19,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Egg Per Piece,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burger Patty Piece,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese Slices,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Breast for Ala King and Burger,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bun in Piece,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creamy Beef Portion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Tapa Portion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozzarella,1000,,,,,,,,,,,,,,,,,,,,,,,40,40,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheddar Cheese (Food Service),2000,,,,,,10,,,,,,,,,,,,,,40,40,40,30,30,,30,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,50,,,,,,,
Quick Melt,1900,,,,,,,5,10,,,,,,,,,,,,40,40,40,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,50,,,,,
Cream Cheese,1000,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizza Sauce,115,,,,,,,,,,,,,,,,,,,,,,,57.5,,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olives,480,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell Pepper,1000,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party Tray Small,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
Party Tray Large,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
beef for quesadilla portion,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
