,,Fruitshakes Grande,,,,,,,,,,,,,,,Fruitshakes Petite,,,,,,,,,,,,,,,Milk Shakes Grande,,,,,,,,,,Milk Shakes Petite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Items,Grams / Pc,Avocado,Mango,Avo Mango,Blueberry Creamcheese,Strawberry Creamcheese,Durian,Buko,Ube with Cheese,Salted Mango Caramel,Matcha Strawberry,Melon,Guyabano,Buko Pandan,Peach Mango,Green Apple Kiwi,Avocado,Mango,Avo Mango,Blueberry Creamcheese,Strawberry Creamcheese,Durian,Buko,Ube with Cheese,Salted Mango Caramel,Matcha Strawberry,Melon,Guyabano,Buko Pandan,Peach Mango,Green Apple Kiwi,Chocolate Kisses,Oreo Milo,Cookies and Cream,Strawberry,Salted Caramel,Matcha,Coffee Crumble,Dark Mocha,Matcha Oreo,Capuccino,Chocolate Kisses,Oreo Milo,Cookies and Cream,Strawberry,Salted Caramel,Matcha,Coffee Crumble,Dark Mocha,Matcha Oreo,Capuccino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookies and Cream,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,,,,,,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry Powder,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,,,,,,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry Syrup,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry Bits,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.3,,9,,,,,,,4.5,1.15,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peanut,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisses Toppings,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,9,,,,4.5,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choco Bits,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,2.4,,,,,,,,2.4,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
